,Acres,DaysOnMkt,Deck,GaragCap,HOAFee,Latitude,Longitude,LstPrice,Patio,PkgSpacs,PropType,SoldPrice,Taxes,TotBed,TotBth,TotSqf,YearBlt
126,0.01,10.0,0,1,315.0,40.773058,-111.88447,385000,0,0,Condo,380000,2731,2.0,3.0,"2,098",1985
127,0.26,35.0,2,2,,40.787302000000004,-111.86434299999999,800000,1,0,Single Family,780000,4297,3.0,3.0,"3,492",1965
128,0.01,14.0,1,1,448.0,40.772271,-111.88640900000001,229000,0,0,Condo,229000,1741,2.0,2.0,995,1976
129,0.97,43.0,1,3,,40.783227000000004,-111.85628899999999,1295000,1,0,Single Family,1275000,7020,6.0,5.0,"5,529",1994
130,0.13,88.0,1,2,,40.770928000000005,-111.852599,610000,0,0,Single Family,580000,4022,4.0,4.0,"3,144",1920
131,0.12,9.0,0,2,,40.775932,-111.86789499999999,599900,0,0,Single Family,599000,1735,3.0,3.0,"2,584",1910
132,0.12,35.0,0,2,,40.77197,-111.855744,579000,1,4,Single Family,550000,3837,3.0,3.0,"2,486",1902
133,0.36,,1,2,,40.786679,-111.86856499999999,600000,1,2,Single Family,591000,4387,4.0,3.0,"2,700",1956
134,0.01,26.0,1,1,379.0,40.774293,-111.89073400000001,215000,0,0,Condo,212500,1331,2.0,2.0,"1,044",1962
135,0.04,5.0,1,0,,40.771086,-111.86829399999999,690000,1,0,Single Family,690000,4304,2.0,2.0,"4,432",1891
136,0.12,25.0,1,1,,40.771398,-111.863203,620000,1,2,Single Family,606200,4256,4.0,3.0,"3,242",1898
137,0.12,4.0,1,1,,40.777538,-111.86999899999999,345000,0,0,Single Family,340000,2305,3.0,2.0,"1,600",1941
138,0.08,7.0,0,0,,40.775852,-111.877827,299900,0,2,Single Family,309900,1460,4.0,2.0,"2,704",1910
139,0.14,2.0,0,3,,40.773365999999996,-111.864034,599900,1,0,Single Family,599900,1991,4.0,3.0,"2,457",1906
140,0.04,,0,0,,40.780415999999995,-111.894273,199900,1,1,Single Family,195000,1193,2.0,1.0,"1,413",1906
141,0.01,14.0,3,2,,40.784853999999996,-111.87576399999999,679000,1,0,Condo,650000,4422,3.0,3.0,"2,548",2005
142,0.07,137.0,0,0,,40.773339,-111.875999,400000,1,0,Single Family,400000,3544,4.0,2.0,"2,312",1904
143,0.09,67.0,1,2,,40.7713,-111.880857,585000,0,0,Single Family,570000,3646,4.0,4.0,"3,294",1900
144,0.01,2.0,0,0,350.0,40.771334,-111.881845,129900,0,0,Condo,128000,879,1.0,1.0,500,1909
